v1,v2
261,55
261,1224
261,864
261,386
261,1177
261,248
261,281
261,1243
261,1075
261,405
261,178
261,1183
261,974
261,124
261,940
261,74
261,1186
261,557
261,1062
261,212
261,514
261,1202
261,209
261,962
261,880
261,232
261,950
261,775
261,1100
261,613
261,984
55,261
55,1224
55,386
55,287
55,706
55,1065
55,248
55,281
55,1243
55,1075
55,496
55,405
55,178
55,567
55,626
55,1118
55,154
55,418
55,1220
55,39
55,74
55,1186
55,557
55,212
55,587
55,1250
55,1202
55,1035
55,209
55,310
55,1071
267,1069
267,989
267,488
267,431
267,97
267,150
267,536
267,1262
267,181
267,1196
267,269
267,1160
267,80
267,890
267,197
267,258
267,570
267,994
267,302
267,1082
267,290
267,921
267,573
267,226
267,286
267,913
267,1233
267,1213
267,1051
267,563
267,1249
267,1188
219,193
219,342
219,300
219,937
219,907
219,925
219,1114
219,718
219,214
219,203
219,740
219,946
219,622
219,1044
219,113
219,501
219,115
219,1265
219,168
219,824
219,356
219,1146
219,151
219,502
219,576
219,311
219,1244
219,1122
219,1073
219,299
219,1173
219,72
219,54
219,845
219,1184
219,771
219,703
569,196
569,483
569,989
569,488
569,26
569,581
569,1138
569,536
569,105
569,1262
569,1196
569,1160
569,1080
569,138
569,890
569,891
569,258
569,1082
569,290
569,140
569,573
569,226
569,1097
569,913
569,1233
569,1051
569,1163
569,315
569,1011
193,219
193,342
193,907
193,925
193,1114
193,214
193,203
193,740
193,946
193,622
193,113
193,501
193,115
193,1265
193,168
193,824
193,561
193,356
193,1146
193,151
193,502
193,576
193,503
193,311
193,1244
193,1073
193,1226
193,206
193,719
193,1173
193,72
193,54
193,845
193,1184
193,771
193,703
193,486
53,1193
53,531
53,160
53,781
53,893
53,1156
53,309
53,1168
53,1136
53,241
53,195
53,812
53,432
53,1127
53,480
53,963
53,938
53,764
53,956
53,426
53,1045
53,928
53,1079
53,354
53,30
53,165
53,236
53,918
53,823
53,516
53,1234
53,245
53,366
53,838
196,569
196,1069
196,483
196,989
196,488
196,150
196,26
196,581
196,915
196,1138
196,536
196,105
196,1262
196,1196
196,1160
196,1080
196,138
196,890
196,891
196,258
196,1082
196,290
196,140
196,573
196,226
196,1097
196,913
196,1233
196,1051
196,1163
196,1011
1224,261
1224,55
1224,864
1224,386
1224,1177
1224,767
1224,307
1224,706
1224,463
1224,1065
1224,248
1224,281
1224,1243
1224,551
1224,496
1224,567
1224,626
1224,154
1224,124
1224,940
1224,418
1224,1220
1224,74
1224,1186
1224,557
1224,1062
1224,212
1224,514
1224,1250
1224,1202
1224,962
1224,612
1224,232
1224,950
1224,1071
266,23
266,1245
266,431
266,150
266,1172
266,894
266,181
266,322
266,858
266,313
266,233
266,197
266,994
266,140
266,921
266,573
266,286
266,289
266,1213
266,762
266,691
266,546
266,442
266,1002
266,645
266,563
266,70
266,686
266,176
266,844
266,344
266,1188
314,380
314,498
314,1238
314,211
314,365
314,389
314,591
314,991
314,1041
314,429
314,348
314,990
314,785
314,1030
314,127
314,559
314,441
314,881
314,693
314,599
314,1057
314,291
314,1248
314,384
314,265
314,836
314,171
314,416
314,821
314,328
864,261
864,1224
864,1177
864,767
864,307
864,1065
864,248
864,281
864,1243
864,1223
864,178
864,19
864,1183
864,974
864,124
864,940
864,174
864,110
864,1062
864,212
864,514
864,250
864,1202
864,962
864,612
864,433
864,880
864,232
864,950
864,775
864,1100
864,1134
864,613
864,1269
864,984
386,261
386,55
386,1224
386,287
386,307
386,706
386,463
386,1065
386,248
386,135
386,281
386,1243
386,1075
386,551
386,9
386,496
386,405
386,178
386,567
386,626
386,1118
386,949
386,154
386,564
386,285
386,947
386,418
386,1220
386,39
386,74
386,654
386,556
386,1186
386,557
386,1062
386,239
386,1256
386,212
386,604
386,250
386,201
386,587
386,1250
386,1202
386,1035
386,209
386,617
386,612
386,310
386,775
386,1007
386,1100
386,1071
1191,810
1191,908
1191,1281
1191,90
1191,1162
1191,802
1191,398
1191,871
1191,1059
1191,733
1191,255
1191,264
1191,136
1191,148
1191,683
1191,688
1191,834
1191,711
1191,816
1191,1157
1191,1198
1191,33
1191,737
1191,1264
1191,306
1191,1064
1191,741
1191,633
1191,282
1191,859
1191,1201
1191,132
1191,301
1191,213
1191,530
1191,67
1191,1187
1191,1060
869,317
869,58
869,10
869,387
869,242
869,347
869,319
869,614
869,84
869,865
869,777
869,276
869,660
869,1
869,1027
869,592
869,283
869,1034
869,65
869,159
869,1276
869,443
869,157
869,38
869,149
869,278
869,793
869,541
869,173
869,462
869,153
104,380
104,95
104,1200
104,389
104,1109
104,88
104,1151
104,976
104,552
104,348
104,990
104,408
104,1125
104,881
104,1057
104,99
104,926
104,766
104,1150
104,629
104,456
104,690
104,524
104,841
104,697
104,172
104,184
104,416
104,980
104,600
20,287
20,527
20,135
20,1075
20,1223
20,9
20,405
20,178
20,1183
20,974
20,564
20,863
20,438
20,1055
20,59
20,212
20,250
20,970
20,1202
20,209
20,433
20,739
20,775
20,1100
20,1071
20,1134
20,44
20,15
20,931
1069,267
1069,196
1069,483
1069,989
1069,488
1069,97
1069,150
1069,915
1069,536
1069,1262
1069,181
1069,1196
1069,269
1069,1160
1069,1080
1069,80
1069,890
1069,197
1069,258
1069,570
1069,994
1069,302
1069,1082
1069,290
1069,921
1069,573
1069,226
1069,286
1069,913
1069,1233
1069,1213
1069,1051
1069,563
1069,1249
1069,1188
118,224
118,746
118,439
118,920
118,547
118,1010
118,855
118,992
118,585
118,658
118,621
118,1033
118,1142
118,240
118,713
118,1232
118,304
118,175
118,811
118,141
118,1048
118,249
118,85
118,1105
118,1115
118,11
118,194
118,457
118,234
118,1211
118,1096
118,665
118,100
118,1149
118,537
118,1147
118,1106
118,180
23,266
23,1245
23,431
23,150
23,1138
23,1172
23,894
23,294
23,322
23,858
23,313
23,233
23,994
23,140
23,286
23,289
23,762
23,691
23,546
23,442
23,1002
23,645
23,563
23,616
23,70
23,686
23,176
23,844
23,344
483,569
483,196
483,1069
483,989
483,488
483,150
483,26
483,581
483,1138
483,536
483,105
483,1262
483,1196
483,1160
483,1080
483,138
483,890
483,891
483,258
483,1082
483,290
483,573
483,226
483,1097
483,913
483,1233
483,1051
483,1163
483,1011
1170,317
1170,17
1170,58
1170,10
1170,68
1170,61
1170,494
1170,34
1170,84
1170,1174
1170,349
1170,545
1170,276
1170,158
1170,565
1170,945
1170,592
1170,795
1170,1098
1170,111
1170,461
1170,283
1170,597
1170,1276
1170,0
1170,443
1170,89
1170,149
1170,1093
1170,793
1170,462
342,219
342,193
342,907
342,214
342,203
342,740
342,946
342,163
342,501
342,115
342,168
342,824
342,561
342,356
342,151
342,502
342,503
342,311
342,1073
342,1226
342,206
342,719
342,1173
342,72
342,845
342,1184
342,771
342,1189
342,703
342,735
380,314
380,104
380,498
380,95
380,458
380,1200
380,63
380,211
380,668
380,365
380,389
380,88
380,552
380,348
380,990
380,323
380,796
380,408
380,964
380,127
380,881
380,1057
380,99
380,926
380,524
380,841
380,1248
380,172
380,836
380,184
380,416
380,821
380,980
773,1175
773,882
773,510
773,330
773,145
773,1110
773,13
773,666
773,430
773,1006
773,966
773,815
773,674
773,94
773,943
773,571
773,6
773,506
773,207
773,813
773,81
773,924
773,14
773,1054
773,208
773,403
773,504
773,698
773,759
957,727
957,851
957,60
957,113
957,473
957,1265
957,804
957,1131
957,1253
957,499
957,993
957,1214
957,298
957,884
957,341
957,973
957,724
957,215
957,377
957,637
957,450
957,299
957,719
957,877
957,1203
957,425
957,102
957,845
957,827
957,279
957,800
957,911
957,170
957,1090
957,1185
957,1260
957,703
957,854
957,486
957,454
957,73
957,595
382,922
382,975
382,619
382,872
382,579
382,406
382,1004
382,932
382,1120
382,364
382,972
382,797
382,477
382,284
382,636
382,765
382,856
382,296
382,448
382,1279
382,1101
382,155
382,1119
382,371
382,1066
382,355
382,643
382,875
382,2
382,648
382,664
382,846
382,1104
382,1095
382,417
382,1068
382,64
36,95
36,1109
36,88
36,1151
36,755
36,731
36,497
36,1257
36,374
36,87
36,1040
36,1070
36,1031
36,1192
36,191
36,629
36,130
36,437
36,680
36,744
36,78
36,742
36,770
36,485
36,447
36,246
36,801
36,600
36,701
498,314
498,380
498,1238
498,211
498,365
498,389
498,591
498,991
498,1041
498,429
498,348
498,990
498,785
498,1030
498,788
498,763
498,127
498,559
498,441
498,693
498,599
498,291
498,1248
498,384
498,265
498,836
498,171
498,416
498,821
300,219
300,937
300,907
300,867
300,925
300,1114
300,718
300,129
300,853
300,622
300,60
300,783
300,1044
300,523
300,113
300,270
300,1265
300,900
300,1146
300,717
300,576
300,489
300,479
300,298
300,1244
300,898
300,190
300,897
300,1122
300,678
300,54
747,332
747,1231
747,689
747,192
747,705
747,257
747,137
747,244
747,752
747,598
747,650
747,223
747,62
747,411
747,1136
747,586
747,1219
747,45
747,787
747,1008
747,1036
747,539
747,1154
747,623
747,1084
747,905
747,1014
747,245
747,874
866,684
866,914
866,772
866,882
866,475
866,1143
866,1161
866,330
866,1110
866,13
866,1086
866,1019
866,1091
866,520
866,815
866,428
866,674
866,1140
866,6
866,799
866,997
866,813
866,81
866,252
866,983
866,1137
866,256
866,769
866,504
866,1023
866,759
866,308
317,869
317,1170
317,17
317,58
317,10
317,319
317,494
317,34
317,84
317,1153
317,1174
317,349
317,545
317,276
317,158
317,660
317,1027
317,592
317,795
317,1098
317,111
317,283
317,597
317,1276
317,443
317,149
317,793
317,71
317,462
937,219
937,300
937,907
937,867
937,925
937,1114
937,718
937,129
937,853
937,203
937,622
937,60
937,783
937,1044
937,523
937,113
937,270
937,1265
937,900
937,1146
937,717
937,151
937,1253
937,502
937,576
937,489
937,479
937,298
937,1244
937,898
937,215
937,190
937,897
937,1122
937,678
937,299
937,54
937,827
937,525
95,104
95,380
95,36
95,1200
95,1109
95,88
95,1151
95,755
95,976
95,731
95,552
95,497
95,1158
95,1257
95,374
95,408
95,1040
95,1031
95,1125
95,881
95,191
95,99
95,926
95,1150
95,629
95,456
95,690
95,524
95,841
95,697
95,744
95,78
95,742
95,770
95,485
95,447
95,801
95,600
95,701
907,219
907,193
907,342
907,300
907,937
907,925
907,1114
907,718
907,214
907,853
907,203
907,740
907,946
907,622
907,1044
907,113
907,115
907,270
907,1265
907,168
907,900
907,824
907,356
907,1146
907,151
907,502
907,576
907,311
907,724
907,1244
907,897
907,1122
907,1073
907,299
907,1203
907,1173
907,54
907,845
907,170
907,1184
907,703
907,486
959,68
959,61
959,1206
959,34
959,84
959,326
959,1242
959,101
959,1217
959,271
959,965
959,1121
959,565
959,945
959,592
959,795
959,817
959,134
959,167
959,749
959,1166
959,933
959,82
959,1268
959,0
959,968
959,89
959,57
959,983
959,1093
959,166
959,1137
959,852
959,793
959,106
959,455
1273,7
1273,321
1273,878
1273,615
1273,549
1273,1239
1273,1168
1273,1235
1273,16
1273,963
1273,938
1273,956
1273,803
1273,1045
1273,92
1273,1079
1273,354
1273,30
1273,293
1273,165
1273,710
1273,823
1273,828
1273,1012
1273,1234
1273,879
1273,474
1273,838
1273,1013
458,380
458,63
458,211
458,668
458,726
458,1112
458,731
458,990
458,1257
458,323
458,796
458,521
458,964
458,1271
458,127
458,881
458,638
458,99
458,926
458,291
458,1139
458,384
458,78
458,27
458,416
458,821
458,1159
458,4
458,131
18,93
18,109
18,192
18,619
18,579
18,1278
18,406
18,672
18,598
18,1004
18,189
18,1016
18,1120
18,471
18,1015
18,716
18,477
18,284
18,765
18,639
18,677
18,1129
18,1218
18,1018
18,856
18,448
18,452
18,361
18,391
18,481
18,1119
18,539
18,624
18,756
18,1066
18,643
18,875
18,2
18,534
18,1095
18,237
867,300
867,937
867,925
867,1114
867,718
867,129
867,853
867,622
867,60
867,783
867,1044
867,523
867,91
867,113
867,270
867,1204
867,473
867,1265
867,1111
867,900
867,829
867,1146
867,717
867,151
867,1253
867,887
867,489
867,479
867,298
867,884
867,1244
867,898
867,190
867,897
867,637
867,1122
867,678
867,620
867,54
867,279
867,525
867,530
17,1170
17,317
17,1238
17,58
17,10
17,68
17,61
17,319
17,494
17,34
17,84
17,1153
17,1174
17,349
17,545
17,276
17,158
17,592
17,795
17,763
17,1098
17,111
17,559
17,461
17,635
17,283
17,933
17,597
17,1276
17,538
17,0
17,968
17,443
17,89
17,149
17,43
17,793
17,71
381,679
381,177
381,32
381,83
381,986
381,19
381,376
381,949
381,285
381,947
381,295
381,407
381,654
381,556
381,126
381,1085
381,239
381,1256
381,604
381,201
381,1035
381,444
381,1061
381,1007
381,998
381,1078
381,883
381,1269
381,390
1238,314
1238,498
1238,17
1238,365
1238,591
1238,991
1238,1041
1238,1153
1238,349
1238,429
1238,545
1238,785
1238,1030
1238,835
1238,788
1238,399
1238,167
1238,763
1238,1098
1238,111
1238,559
1238,461
1238,635
1238,441
1238,693
1238,1266
1238,599
1238,933
1238,597
1238,538
1238,968
1238,89
1238,265
1238,164
1238,43
1238,886
1238,71
58,869
58,1170
58,317
58,17
58,10
58,387
58,242
58,347
58,319
58,34
58,84
58,349
58,276
58,660
58,835
58,1
58,1027
58,592
58,795
58,1098
58,111
58,283
58,1276
58,443
58,157
58,149
58,278
58,793
58,71
58,462
58,153
1193,53
1193,332
1193,1155
1193,692
1193,644
1193,689
1193,1179
1193,187
1193,531
1193,1009
1193,754
1193,69
1193,757
1193,649
1193,160
1193,781
1193,893
1193,1117
1193,779
1193,1043
1193,1156
1193,309
1193,1168
1193,241
1193,195
1193,812
1193,432
1193,1127
1193,480
1193,162
1193,1247
1193,601
1193,963
1193,938
1193,709
1193,764
1193,346
1193,327
1193,956
1193,426
1193,995
1193,1045
1193,928
1193,982
1193,1079
1193,354
1193,30
1193,165
1193,236
1193,930
1193,918
1193,823
1193,516
1193,468
1193,828
1193,1234
1193,245
1193,366
1193,929
1193,453
1193,838
694,805
694,589
694,1141
694,1181
694,121
694,230
694,220
694,29
694,238
694,666
694,1113
694,1280
694,618
694,728
694,784
694,66
694,847
694,1252
694,430
694,738
694,1000
694,77
694,467
694,76
694,228
694,94
694,943
694,571
694,37
694,440
694,1094
694,207
694,935
694,675
694,507
694,916
694,490
694,542
694,218
694,1081
694,449
694,331
694,277
694,780
694,555
694,1165
694,22
694,152
694,394
694,243
694,169
989,267
989,569
989,196
989,1069
989,483
989,488
989,97
989,26
989,581
989,105
989,1262
989,1196
989,269
989,1160
989,1080
989,80
989,138
989,890
989,891
989,258
989,570
989,302
989,1082
989,290
989,226
989,913
989,1233
989,1051
989,1163
10,869
10,1170
10,317
10,17
10,58
10,387
10,242
10,319
10,494
10,34
10,84
10,1174
10,349
10,276
10,158
10,660
10,835
10,1
10,1027
10,592
10,795
10,1098
10,111
10,283
10,1276
10,443
10,89
10,157
10,149
10,793
10,71
10,462
10,153
332,747
332,1193
332,1155
332,1231
332,692
332,689
332,1179
332,187
332,705
332,1009
332,754
332,757
332,649
332,160
332,257
332,137
332,244
332,752
332,401
332,1117
332,1029
332,942
332,139
332,411
332,751
332,586
332,480
332,1219
332,45
332,1247
332,601
332,787
332,426
332,995
332,1036
332,623
332,1084
332,905
332,918
332,896
332,343
332,874
332,122
488,267
488,569
488,196
488,1069
488,483
488,989
488,97
488,150
488,26
488,581
488,915
488,536
488,105
488,1262
488,181
488,1196
488,269
488,1160
488,233
488,1080
488,80
488,138
488,890
488,197
488,891
488,258
488,570
488,994
488,302
488,1082
488,290
488,921
488,573
488,226
488,913
488,1233
488,1213
488,1051
488,1163
488,1249
488,1188
925,219
925,193
925,300
925,937
925,907
925,867
925,1114
925,718
925,129
925,214
925,853
925,203
925,740
925,622
925,60
925,783
925,1044
925,523
925,113
925,115
925,270
925,473
925,1265
925,900
925,824
925,1146
925,717
925,151
925,1253
925,502
925,576
925,298
925,1244
925,215
925,897
925,1122
925,1073
925,678
925,299
925,1203
925,1173
925,54
925,845
925,827
925,170
925,525
925,703
925,486
210,385
210,412
210,868
210,829
210,231
210,1077
210,379
210,1274
210,372
210,712
210,1145
210,143
210,1089
210,857
210,1058
210,422
210,1123
210,424
210,297
210,1182
210,156
210,235
210,1251
210,229
210,409
210,822
210,960
210,830
210,484
210,274
210,560
210,715
210,1130
210,360
210,1148
210,217
1177,261
1177,1224
1177,864
1177,767
1177,307
1177,1065
1177,248
1177,281
1177,1243
1177,1223
1177,19
1177,1183
1177,974
1177,124
1177,940
1177,174
1177,110
1177,1062
1177,212
1177,514
1177,250
1177,1202
