v1,v2
383,167
383,667
383,33
383,572
383,13
383,18
383,529
383,481
383,450
383,550
383,864
383,848
383,741
383,402
383,1010
383,1025
383,334
383,564
383,692
383,947
383,483
383,178
383,249
383,617
383,794
383,793
383,662
383,442
383,340
383,1039
383,208
383,371
167,383
167,221
167,323
167,778
167,13
167,222
167,18
167,481
167,16
167,955
167,984
167,472
167,512
167,773
167,741
167,446
167,792
167,1057
167,692
167,15
167,545
167,483
167,555
167,488
167,617
167,794
167,54
167,442
167,144
167,340
167,277
167,350
167,1039
167,208
167,371
221,167
221,89
221,323
221,557
221,778
221,222
221,481
221,339
221,955
221,444
221,492
221,472
221,512
221,773
221,462
221,741
221,620
221,446
221,792
221,283
221,555
221,488
221,874
221,719
221,122
221,442
221,144
221,350
221,1039
27,876
27,478
27,256
27,230
27,527
27,774
27,1015
27,601
27,145
27,39
27,552
27,411
27,625
27,815
27,745
27,684
27,646
27,465
27,988
27,332
27,68
27,526
27,772
27,409
27,38
27,914
27,379
27,690
27,124
27,777
27,449
27,69
27,342
27,250
27,286
27,474
27,487
27,775
27,786
27,841
27,206
89,221
89,323
89,13
89,233
89,18
89,16
89,955
89,585
89,386
89,984
89,466
89,472
89,512
89,773
89,446
89,792
89,1057
89,724
89,364
89,96
89,95
89,1008
89,1043
89,130
89,336
89,545
89,426
89,555
89,488
89,649
89,54
89,945
89,144
89,309
89,1019
89,277
89,350
89,515
89,968
89,264
323,167
323,221
323,89
323,557
323,778
323,222
323,481
323,339
323,955
323,444
323,492
323,472
323,512
323,773
323,462
323,741
323,620
323,446
323,792
323,283
323,96
323,1008
323,1043
323,555
323,488
323,122
323,442
323,144
323,350
323,515
323,1039
325,169
325,740
325,148
325,600
325,287
325,315
325,421
325,279
325,622
325,628
325,592
325,265
325,729
325,530
325,359
325,49
325,338
325,917
325,608
325,940
325,6
325,953
325,734
325,522
325,762
325,616
325,830
325,28
325,471
667,383
667,557
667,621
667,572
667,1032
667,222
667,529
667,481
667,339
667,624
667,450
667,444
667,310
667,458
667,492
667,1051
667,507
667,864
667,848
667,462
667,741
667,620
667,402
667,147
667,1010
667,798
667,283
667,334
667,564
667,260
667,692
667,120
667,606
667,405
667,178
667,272
667,249
667,617
667,793
667,887
667,874
667,1006
667,470
667,719
667,122
667,833
667,442
667,1039
528,814
528,410
528,577
528,98
528,632
528,929
528,74
528,784
528,995
528,333
528,171
528,246
528,473
528,534
528,544
528,354
528,969
528,188
528,954
528,663
528,931
528,165
528,343
528,490
528,818
528,103
528,87
528,926
528,121
528,938
528,440
528,150
169,325
169,740
169,148
169,600
169,315
169,421
169,279
169,622
169,628
169,592
169,125
169,530
169,359
169,49
169,338
169,917
169,608
169,6
169,953
169,734
169,335
169,522
169,53
169,762
169,355
169,616
169,830
169,28
169,471
1020,588
1020,655
1020,1031
1020,949
1020,827
1020,52
1020,247
1020,756
1020,994
1020,618
1020,962
1020,859
1020,476
1020,979
1020,634
1020,732
1020,131
1020,297
1020,99
1020,1038
1020,83
1020,736
1020,127
1020,437
1020,866
